Data_e_ora,Capitale,Moneta,Prezzo_di_acquisto,Exchange_acq,Prezzo_di_vendita,Exchange_ven,Commissioni_acquisto,Commissioni_vendita,Guadagno_netto
2025-01-30 17:04:33.408697, 3000, LTC, 131.196, KuCoin, 131.41, Bitfinex, 0.1%, 0.1%, -1.11 USDT
2025-01-30 17:04:38.922170, 3000, SOL, 241.569, KuCoin, 241.64, Bitfinex, 0.1%, 0.1%, -5.12 USDT
2025-01-30 17:04:39.371220, 3000, BTC, 105681.6, KuCoin, 105790.0, Bitfinex, 0.1%, 0.1%, -2.93 USDT
2025-01-30 17:04:39.866968, 3000, ETH, 3257.61, Binance, 3260.9, Bitfinex, 0.1%, 0.1%, -2.97 USDT
2025-01-30 17:04:40.924989, 3000, PEPE, 1.314e-05, Binance, 1.314e-05, Binance, 0.1%, 0.1%, -6.00 USDT
2025-01-30 17:04:41.362338, 3000, DOGE, 0.33639, Binance, 0.33645, KuCoin, 0.1%, 0.1%, -5.46 USDT
2025-01-30 17:04:41.747955, 3000, XRP, 3.12978, KuCoin, 3.1354, Bitfinex, 0.1%, 0.1%, -0.62 USDT
2025-01-30 17:04:42.082657, 3000, ADA, 0.9791, KuCoin, 0.97947, Bitfinex, 0.1%, 0.1%, -4.87 USDT
2025-01-30 17:04:42.490647, 3000, LTC, 131.245, KuCoin, 131.41, Bitfinex, 0.1%, 0.1%, -2.23 USDT
2025-01-30 17:04:48.188713, 3000, SOL, 241.51, Binance, 241.73, Bitfinex, 0.1%, 0.1%, -3.27 USDT
2025-01-30 17:04:48.648877, 3000, BTC, 105670.2, KuCoin, 105790.0, Bitfinex, 0.1%, 0.1%, -2.60 USDT
2025-01-30 17:04:52.973890, 3000, SOL, 241.592, KuCoin, 241.73, Bitfinex, 0.1%, 0.1%, -4.29 USDT
2025-01-30 17:04:53.363753, 3000, BTC, 105710.63, Binance, 105790.0, Bitfinex, 0.1%, 0.1%, -3.75 USDT
2025-01-30 17:04:54.468919, 3000, ETH, 3258.7, KuCoin, 3260.9, Bitfinex, 0.1%, 0.1%, -3.98 USDT
2025-01-30 17:04:54.853629, 3000, PEPE, 1.314e-05, KuCoin, 1.315e-05, Binance, 0.1%, 0.1%, -3.72 USDT
2025-01-30 17:04:55.351834, 3000, DOGE, 0.33653, Binance, 0.33656, KuCoin, 0.1%, 0.1%, -5.73 USDT
2025-01-30 17:04:55.723561, 3000, XRP, 3.1311, Binance, 3.1354, Bitfinex, 0.1%, 0.1%, -1.89 USDT
2025-01-30 17:04:56.156198, 3000, ADA, 0.97947, Bitfinex, 0.9798, KuCoin, 0.2%, 0.1%, -7.99 USDT
2025-01-30 17:04:56.551127, 3000, LTC, 131.3, Binance, 131.41, Bitfinex, 0.1%, 0.1%, -3.49 USDT
2025-01-30 17:04:58.034932, 3000, SOL, 241.51, Binance, 241.73, Bitfinex, 0.1%, 0.1%, -3.27 USDT
2025-01-30 17:04:58.865036, 3000, BTC, 105695.1, KuCoin, 105790.0, Bitfinex, 0.1%, 0.1%, -3.31 USDT
2025-01-30 17:04:59.341082, 3000, ETH, 3258.64, Binance, 3260.9, Bitfinex, 0.1%, 0.1%, -3.92 USDT
2025-01-30 17:04:59.811893, 3000, PEPE, 1.314e-05, KuCoin, 1.315e-05, Binance, 0.1%, 0.1%, -3.72 USDT
2025-01-30 17:05:00.279634, 3000, DOGE, 0.33642, Binance, 0.33643, KuCoin, 0.1%, 0.1%, -5.91 USDT
